,parameter_stable_id,external_sample_id,date_of_birth,experiment_source_id,sex,colony_id,download_url,jpeg_url,allele_symbol
0,IMPC_EYE_050_001,K29858,2014-07-25T00:00:00Z,Eye Morphology - K29858 - 290758,male,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701156,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701156,
0,IMPC_EYE_050_001,K33607,2014-08-20T00:00:00Z,Eye Morphology - K33607 - 302028,female,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699709,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699709,
0,IMPC_EYE_050_001,K589,2014-01-23T00:00:00Z,Eye Morphology - K589 - 186987,female,JR22342,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699795,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699795,Dhx30<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,J32667,2016-01-31T00:00:00Z,Eye Morphology - J32667 - 813734,male,JR26631,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701014,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701014,Stk32c<tm2b(KOMP)Wtsi>
0,IMPC_EYE_050_001,K84062,2015-05-26T00:00:00Z,Eye Morphology - K84062 - 495192,female,JR24653,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700478,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700478,Fam186b<tm1b(KOMP)Mbp>
0,IMPC_EYE_050_001,K57815,2015-01-06T00:00:00Z,Eye Morphology - K57815 - 374621,female,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700573,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700573,
0,IMPC_EYE_050_001,J7460,2015-09-29T00:00:00Z,Eye Morphology - J7460 - 648566,male,JR26954,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700451,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700451,Oard1<em1(IMPC)J>
0,IMPC_EYE_050_001,J8776,2015-09-22T00:00:00Z,Eye Morphology - J8776 - 637721,female,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699998,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699998,
0,IMPC_EYE_050_001,K65448,2015-02-17T00:00:00Z,Eye Morphology - K65448 - 405188,male,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701234,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701234,
0,IMPC_EYE_050_001,J21765,2015-11-28T00:00:00Z,Eye Morphology - J21765 - 731055,male,JR26843,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/702442,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/702442,Car12<tm1b(KOMP)Wtsi>
0,IMPC_EYE_050_001,K80751,2015-05-24T00:00:00Z,Eye Morphology - K80751 - 487827,female,JR25388,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700122,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700122,Pkp4<tm1b(EUCOMM)Wtsi>
0,IMPC_EYE_050_001,K69667,2015-03-23T00:00:00Z,Eye Morphology - K69667 - 421072,male,JR25319,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700274,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700274,Heyl<tm1b(KOMP)Wtsi>
